{snapshot: 19:42:45, data: ['52.83224', '42.31631', '29.62411', '357.52761', '12.49108', '132.85725', '0.04267', '0.21463', '0.93214']}\n
{snapshot: 19:42:46, data: ['52.72246', '42.17905', '29.62418', '357.52093', '12.42502', '132.83014', '0.04316', '0.21609', '0.93238']}\n
{snapshot: 19:42:46, data: ['52.74076', '42.59402', '29.62362', '357.5063', '12.35737', '132.81618', '0.04364', '0.2156', '0.93141']}\n
{snapshot: 19:42:47, data: ['52.75905', '42.278', '29.62355', '357.51782', '12.32336', '132.76559', '0.04219', '0.2156', '0.9336']}\n
{snapshot: 19:42:48, data: ['52.77735', '42.17905', '29.62382', '357.53001', '12.33459', '132.73854', '0.0434', '0.21633', '0.93214']}\n
{snapshot: 19:42:49, data: ['52.75905', '44.3018', '29.62438', '357.54072', '12.3452', '132.72725', '0.04267', '0.21439', '0.93385']}\n
{snapshot: 19:42:49, data: ['52.74076', '41.97795', '29.62363', '357.5718', '12.39287', '132.7182', '0.04243', '0.21439', '0.93555']}\n
{snapshot: 19:42:50, data: ['52.70416', '41.92368', '29.62352', '357.57686', '12.43389', '132.6845', '0.04316', '0.21609', '0.93385']}\n
{snapshot: 19:42:51, data: ['52.75905', '41.53105', '29.62399', '357.63334', '12.42442', '132.59476', '0.04146', '0.21487', '0.93385']}\n
{snapshot: 19:42:51, data: ['52.74076', '41.60447', '29.62406', '357.66051', '12.38311', '132.53341', '0.04146', '0.21584', '0.93385']}\n
{snapshot: 19:42:52, data: ['52.75905', '42.78236', '29.62396', '357.59184', '12.3472', '132.53773', '0.04388', '0.21681', '0.93433']}\n
{snapshot: 19:42:53, data: ['52.66757', '42.99623', '29.6243', '357.61189', '12.38229', '132.47319', '0.04316', '0.21584', '0.93506']}\n
{snapshot: 19:42:54, data: ['52.66757', '41.61724', '29.62465', '357.63759', '12.36611', '132.51724', '0.04243', '0.21633', '0.93433']}\n
{snapshot: 19:42:54, data: ['52.75905', '43.72722', '29.62451', '357.67911', '12.34958', '132.47391', '0.04291', '0.21463', '0.93214']}\n
{snapshot: 19:42:55, data: ['52.77735', '41.33633', '29.62435', '357.63797', '12.33485', '132.53841', '0.04291', '0.2156', '0.93238']}\n
{snapshot: 19:42:56, data: ['52.70416', '41.17673', '29.62411', '357.60937', '12.36652', '132.56509', '0.0434', '0.21536', '0.93506']}\n
{snapshot: 19:42:56, data: ['52.77735', '41.26292', '29.62377', '357.63134', '12.34712', '132.59538', '0.04243', '0.21463', '0.93458']}\n
{snapshot: 19:42:57, data: ['52.61267', '41.89176', '29.62405', '357.60787', '12.33838', '132.57293', '0.04364', '0.21633', '0.93165']}\n
{snapshot: 19:42:58, data: ['52.68586', '41.54063', '29.62341', '357.61391', '12.34594', '132.60435', '0.04413', '0.21584', '0.93336']}\n
{snapshot: 19:42:59, data: ['52.68586', '41.55659', '29.62296', '357.54913', '12.38038', '132.52041', '0.04267', '0.21536', '0.93214']}\n
{snapshot: 19:42:59, data: ['52.77735', '41.99072', '29.62345', '357.55979', '12.39275', '132.45637', '0.04243', '0.21511', '0.93336']}\n
{snapshot: 19:43:00, data: ['52.81395', '41.62682', '29.62304', '357.59417', '12.46968', '132.37887', '0.04243', '0.21609', '0.93312']}\n
{snapshot: 19:43:01, data: ['52.77735', '41.53105', '29.62324', '357.58128', '12.55605', '132.3668', '0.04073', '0.21487', '0.93117']}\n
{snapshot: 19:43:01, data: ['52.83224', '41.56936', '29.62303', '357.53538', '12.54499', '132.37816', '0.04243', '0.2156', '0.93141']}\n
{snapshot: 19:43:02, data: ['52.86884', '41.63', '29.62294', '357.57262', '12.60294', '132.36903', '0.0434', '0.21584', '0.93141']}\n
{snapshot: 19:43:03, data: ['52.77735', '41.85345', '29.6231', '357.5887', '12.6435', '132.34474', '0.04364', '0.21536', '0.93141']}\n
{snapshot: 19:43:03, data: ['52.81395', '41.48317', '29.624', '357.592', '12.6085', '132.42643', '0.04437', '0.2156', '0.93092']}\n
{snapshot: 19:43:04, data: ['52.85054', '40.51915', '29.62326', '357.57578', '12.59891', '132.45879', '0.04316', '0.21681', '0.93141']}\n
{snapshot: 19:43:05, data: ['52.88713', '41.77046', '29.62359', '357.60731', '12.65539', '132.40204', '0.0434', '0.21536', '0.93336']}\n
{snapshot: 19:43:06, data: ['52.75905', '41.56616', '29.62379', '357.62399', '12.74254', '132.39147', '0.04316', '0.21609', '0.93043']}\n
{snapshot: 19:43:06, data: ['52.92373', '40.02438', '29.62367', '357.61027', '12.70618', '132.37386', '0.04243', '0.21511', '0.93263']}\n
{snapshot: 19:43:07, data: ['52.86884', '41.57574', '29.62356', '357.52537', '12.7477', '132.42315', '0.04267', '0.2156', '0.93214']}\n
{snapshot: 19:43:08, data: ['52.86884', '41.17992', '29.62357', '357.53154', '12.793', '132.40221', '0.0434', '0.21439', '0.93409']}\n
{snapshot: 19:43:08, data: ['52.96032', '41.00755', '29.62364', '357.55437', '12.81124', '132.3652', '0.04243', '0.21536', '0.93117']}\n
{snapshot: 19:43:09, data: ['52.85054', '40.74579', '29.62381', '357.49571', '12.78774', '132.3316', '0.04267', '0.21609', '0.93409']}\n
{snapshot: 19:43:10, data: ['52.92373', '41.32356', '29.62335', '357.48144', '12.756', '132.27784', '0.04291', '0.2156', '0.93263']}\n
{snapshot: 19:43:11, data: ['53.07011', '41.12565', '29.62289', '357.4936', '12.7754', '132.2397', '0.04243', '0.21536', '0.9336']}\n
{snapshot: 19:43:11, data: ['52.88713', '41.3076', '29.62211', '357.53613', '12.81451', '132.19533', '0.04219', '0.21584', '0.9358']}\n
{snapshot: 19:43:12, data: ['53.01522', '41.36826', '29.62246', '357.52942', '12.82467', '132.15853', '0.04122', '0.2156', '0.93433']}\n
{snapshot: 19:43:13, data: ['52.96032', '41.17034', '29.62302', '357.50903', '12.77181', '132.17871', '0.04316', '0.21511', '0.93385']}\n
{snapshot: 19:43:13, data: ['53.08841', '41.01074', '29.62349', '357.50735', '12.76345', '132.19878', '0.04267', '0.21584', '0.93238']}\n
{snapshot: 19:43:14, data: ['52.97862', '40.69791', '29.62341', '357.49157', '12.76627', '132.19218', '0.04267', '0.21536', '0.93312']}\n
{snapshot: 19:43:15, data: ['53.01522', '41.66193', '29.62183', '357.51275', '12.82937', '132.15606', '0.04364', '0.2156', '0.93238']}\n
{snapshot: 19:43:16, data: ['52.99692', '40.94051', '29.62291', '357.50621', '12.80633', '132.16382', '0.0417', '0.21584', '0.9319']}\n
{snapshot: 19:43:16, data: ['52.86884', '41.6332', '29.62395', '357.48051', '12.84142', '132.1271', '0.04267', '0.2139', '0.93409']}\n
{snapshot: 19:43:17, data: ['53.07011', '40.84475', '29.6233', '357.47997', '12.86466', '132.11445', '0.04291', '0.21584', '0.93336']}\n
{snapshot: 19:43:18, data: ['53.01522', '40.90221', '29.6239', '357.50827', '12.84888', '132.11333', '0.04267', '0.21609', '0.93336']}\n
{snapshot: 19:43:18, data: ['53.05181', '40.77771', '29.62436', '357.55349', '12.83129', '132.12008', '0.04194', '0.21536', '0.93385']}\n
{snapshot: 19:43:19, data: ['53.05181', '40.7426', '29.62387', '357.56731', '12.80974', '132.04187', '0.04291', '0.21609', '0.9336']}\n
{snapshot: 19:43:20, data: ['52.96032', '39.90946', '29.6234', '357.62463', '12.75395', '132.00025', '0.04097', '0.21633', '0.93043']}\n
{snapshot: 19:43:21, data: ['53.01522', '40.83198', '29.6233', '357.62318', '12.71561', '131.92938', '0.04243', '0.21657', '0.93141']}\n
{snapshot: 19:43:21, data: ['52.97862', '40.97562', '29.62296', '357.59702', '12.69536', '131.98849', '0.04267', '0.21609', '0.93019']}\n
{snapshot: 19:43:22, data: ['52.90543', '40.52873', '29.62281', '357.62245', '12.64197', '132.08134', '0.04243', '0.21633', '0.93238']}\n
{snapshot: 19:43:23, data: ['53.01522', '40.69153', '29.62382', '357.63069', '12.62307', '132.11455', '0.0417', '0.21487', '0.93141']}\n
{snapshot: 19:43:23, data: ['52.86884', '40.52235', '29.62473', '357.60101', '12.59001', '132.12304', '0.04243', '0.2156', '0.93043']}\n
{snapshot: 19:43:24, data: ['52.92373', '40.18717', '29.62446', '357.61519', '12.57803', '132.11241', '0.04291', '0.21633', '0.9297']}\n
{snapshot: 19:43:25, data: ['53.07011', '40.38189', '29.62406', '357.59783', '12.50207', '132.08791', '0.04194', '0.21536', '0.93165']}\n
{snapshot: 19:43:26, data: ['53.05181', '40.63407', '29.62444', '357.58682', '12.56737', '132.10493', '0.04388', '0.21487', '0.9336']}\n
{snapshot: 19:43:26, data: ['52.96032', '40.51915', '29.62454', '357.62303', '12.49197', '132.14144', '0.04194', '0.2156', '0.93214']}\n
{snapshot: 19:43:27, data: ['53.07011', '40.18398', '29.62493', '357.57844', '12.49554', '132.14655', '0.0417', '0.21414', '0.93238']}\n
{snapshot: 19:43:28, data: ['53.05181', '40.26698', '29.62428', '357.54793', '12.48657', '132.14527', '0.04267', '0.21584', '0.9336']}\n
{snapshot: 19:43:28, data: ['53.07011', '40.30848', '29.6243', '357.59029', '12.49559', '132.17518', '0.0434', '0.2156', '0.93458']}\n
{snapshot: 19:43:29, data: ['53.03351', '40.33082', '29.62455', '357.58813', '12.55504', '132.23604', '0.04291', '0.21487', '0.93336']}\n
{snapshot: 19:43:30, data: ['52.97862', '40.23825', '29.62454', '357.56999', '12.58236', '132.21285', '0.04413', '0.21657', '0.93482']}\n
{snapshot: 19:43:31, data: ['53.03351', '40.39466', '29.62453', '357.57357', '12.62838', '132.19596', '0.04316', '0.21609', '0.93531']}\n
{snapshot: 19:43:31, data: ['52.94203', '40.71068', '29.62481', '357.50829', '12.59383', '132.20771', '0.04267', '0.21536', '0.93628']}\n
{snapshot: 19:43:32, data: ['53.01522', '40.36913', '29.62447', '357.53682', '12.56604', '132.23637', '0.04219', '0.21463', '0.93482']}\n
{snapshot: 19:43:33, data: ['52.88713', '40.3372', '29.62276', '357.57896', '12.61278', '132.27251', '0.04388', '0.2156', '0.9336']}\n
{snapshot: 19:43:33, data: ['52.92373', '40.28613', '29.62209', '357.5937', '12.62212', '132.24506', '0.04316', '0.2139', '0.93604']}\n
{snapshot: 19:43:34, data: ['53.08841', '40.16802', '29.62307', '357.66426', '12.61437', '132.21767', '0.04413', '0.21584', '0.93531']}\n
{snapshot: 19:43:35, data: ['52.96032', '39.64452', '29.62365', '357.66606', '12.65729', '132.19853', '0.0417', '0.21536', '0.9336']}\n
{snapshot: 19:43:36, data: ['52.99692', '44.43587', '29.62404', '357.68326', '12.7344', '132.07791', '0.04243', '0.21633', '0.93555']}\n
{snapshot: 19:43:36, data: ['53.01522', '40.57661', '29.6249', '357.68096', '12.73251', '132.037', '0.04316', '0.21414', '0.93604']}\n
{snapshot: 19:43:37, data: ['53.01522', '40.43297', '29.6248', '357.63127', '12.74229', '131.99211', '0.04364', '0.21414', '0.93238']}\n
{snapshot: 19:43:38, data: ['53.01522', '40.33082', '29.62458', '357.69399', '12.66997', '131.88568', '0.04316', '0.21633', '0.93336']}\n
{snapshot: 19:43:39, data: ['53.07011', '40.69791', '29.62442', '357.69601', '12.70853', '131.89179', '0.04267', '0.21463', '0.93409']}\n
{snapshot: 19:43:39, data: ['53.1067', '40.4585', '29.62441', '357.70242', '12.71233', '131.91159', '0.04316', '0.21584', '0.87341']}\n
{snapshot: 19:43:40, data: ['53.01522', '39.89031', '29.62446', '357.71651', '12.71378', '131.92762', '0.04267', '0.21609', '0.93531']}\n
{snapshot: 19:43:41, data: ['52.97862', '40.51596', '29.6246', '357.70066', '12.72992', '131.93695', '0.04437', '0.21511', '0.99745']}\n
{snapshot: 19:43:41, data: ['53.07011', '40.89582', '29.62578', '357.66457', '12.71739', '131.88907', '0.04219', '0.21584', '0.93433']}\n
{snapshot: 19:43:42, data: ['53.03351', '42.02902', '29.6257', '357.66836', '12.73316', '131.91657', '0.04243', '0.21463', '0.93531']}\n
{snapshot: 19:43:43, data: ['52.99692', '40.70749', '29.62509', '357.61126', '12.73905', '131.92383', '0.0417', '0.2156', '0.93604']}\n
