\n
{snapshot: 16:34:45, data: ['55.9245', '28.82008', '29.56431', '357.79561', '12.64104', '134.13643', '0.03831', '0.22191', '0.92922']}\n
{snapshot: 16:34:46, data: ['55.9428', '28.68282', '29.56485', '357.76258', '12.64997', '134.17222', '0.03928', '0.22191', '0.93117']}\n
{snapshot: 16:34:47, data: ['55.97939', '28.62856', '29.56498', '357.75558', '12.59287', '134.17214', '0.04073', '0.22191', '0.92995']}\n
{snapshot: 16:34:47, data: ['55.86961', '28.77539', '29.56545', '357.68515', '12.59386', '134.07612', '0.03903', '0.22167', '0.93043']}\n
{snapshot: 16:34:48, data: ['55.83301', '28.53598', '29.5658', '357.67379', '12.56621', '134.06854', '0.04194', '0.22264', '0.93068']}\n
{snapshot: 16:34:49, data: ['55.9428', '28.60302', '29.56577', '357.68049', '12.57297', '134.08432', '0.04073', '0.22191', '0.93165']}\n
{snapshot: 16:34:49, data: ['56.16236', '26.81863', '29.56583', '357.61477', '12.61372', '134.09977', '0.03928', '0.22118', '0.93068']}\n
{snapshot: 16:34:50, data: ['55.9062', '28.37638', '29.56627', '357.63019', '12.56841', '134.06441', '0.03879', '0.2224', '0.92849']}\n
{snapshot: 16:34:51, data: ['55.85131', '28.7722', '29.56603', '357.59068', '12.53648', '134.09772', '0.04025', '0.22167', '0.92995']}\n
{snapshot: 16:34:51, data: ['55.86961', '28.6509', '29.56582', '357.55657', '12.55042', '134.15601', '0.03928', '0.2207', '0.93043']}\n
{snapshot: 16:34:52, data: ['55.97939', '28.56791', '29.56582', '357.52166', '12.5848', '134.18203', '0.03879', '0.22094', '0.93092']}\n
{snapshot: 16:34:53, data: ['55.9428', '28.74028', '29.56538', '357.51951', '12.57617', '134.15431', '0.04049', '0.22143', '0.93141']}\n
{snapshot: 16:34:54, data: ['55.9062', '28.64452', '29.56579', '357.51352', '12.5429', '134.1608', '0.03976', '0.22143', '0.93141']}\n
{snapshot: 16:34:54, data: ['55.96109', '28.89989', '29.56532', '357.51745', '12.52775', '134.19166', '0.03928', '0.22118', '0.93141']}\n
{snapshot: 16:34:55, data: ['55.9062', '28.32531', '29.56512', '357.52335', '12.48389', '134.21997', '0.04049', '0.21997', '0.93043']}\n
{snapshot: 16:34:56, data: ['55.9062', '27.55282', '29.56457', '357.48756', '12.45813', '134.2034', '0.03903', '0.22167', '0.93141']}\n
{snapshot: 16:34:56, data: ['55.88791', '28.51364', '29.5652', '357.46083', '12.47012', '134.06746', '0.03903', '0.2207', '0.93409']}\n
{snapshot: 16:34:57, data: ['55.97939', '25.07893', '29.56494', '357.48583', '12.40183', '134.03148', '0.03976', '0.22118', '0.9336']}\n
{snapshot: 16:34:58, data: ['55.86961', '27.59431', '29.56416', '357.46197', '12.43198', '133.98195', '0.04073', '0.22167', '0.93458']}\n
{snapshot: 16:34:58, data: ['55.81471', '26.83459', '29.5644', '357.45468', '12.38505', '133.93937', '0.03952', '0.22118', '0.93409']}\n
{snapshot: 16:34:59, data: ['56.08918', '28.62856', '29.56428', '357.5162', '12.34032', '133.90416', '0.04', '0.22216', '0.93263']}\n
{snapshot: 16:35:00, data: ['56.03428', '28.26466', '29.56437', '357.49933', '12.3522', '133.95407', '0.03976', '0.22167', '0.93385']}\n
{snapshot: 16:35:01, data: ['55.97939', '29.08183', '29.5641', '357.50856', '12.36604', '134.05373', '0.03952', '0.22313', '0.93482']}\n
{snapshot: 16:35:01, data: ['56.03428', '28.44341', '29.56424', '357.49729', '12.36113', '134.12903', '0.03952', '0.22167', '0.93214']}\n
{snapshot: 16:35:02, data: ['55.96109', '28.21997', '29.56491', '357.47344', '12.36125', '134.10963', '0.03928', '0.22191', '0.93531']}\n
{snapshot: 16:35:03, data: ['55.86961', '28.13059', '29.56484', '357.45745', '12.35112', '134.06458', '0.04049', '0.22118', '0.93482']}\n
{snapshot: 16:35:03, data: ['55.9428', '28.80731', '29.56484', '357.47192', '12.38685', '134.03652', '0.04', '0.22167', '0.93263']}\n
{snapshot: 16:35:04, data: ['56.05258', '28.38276', '29.56497', '357.46993', '12.26115', '134.07762', '0.03831', '0.22167', '0.93628']}\n
{snapshot: 16:35:05, data: ['55.97939', '28.76262', '29.56504', '357.43003', '12.23815', '134.01077', '0.04097', '0.22094', '0.93433']}\n
{snapshot: 16:35:06, data: ['55.99769', '28.22316', '29.56552', '357.42938', '12.20389', '134.04548', '0.04', '0.22167', '0.93458']}\n
{snapshot: 16:35:06, data: ['55.9428', '28.15932', '29.56489', '357.42422', '12.25261', '134.01081', '0.04097', '0.22143', '0.93409']}\n
{snapshot: 16:35:07, data: ['56.01599', '28.07951', '29.5636', '357.37731', '12.28872', '133.94758', '0.04073', '0.22191', '0.9336']}\n
{snapshot: 16:35:08, data: ['55.96109', '26.52815', '29.56393', '357.34031', '12.3109', '133.98704', '0.04097', '0.22094', '0.93555']}\n
{snapshot: 16:35:09, data: ['55.9245', '28.14974', '29.56471', '357.3219', '12.33427', '133.9617', '0.04073', '0.22167', '0.93336']}\n
{snapshot: 16:35:09, data: ['56.03428', '28.46576', '29.56527', '357.31866', '12.40418', '133.90281', '0.03976', '0.22191', '0.93312']}\n
{snapshot: 16:35:10, data: ['55.99769', '28.37638', '29.56579', '357.34765', '12.49511', '133.89968', '0.04073', '0.22046', '0.93165']}\n
{snapshot: 16:35:11, data: ['55.99769', '28.05398', '29.56567', '357.33592', '12.4861', '133.97449', '0.03928', '0.22167', '0.93482']}\n
{snapshot: 16:35:11, data: ['55.9245', '28.23273', '29.56623', '357.33402', '12.49217', '134.02815', '0.03903', '0.22167', '0.93214']}\n
{snapshot: 16:35:12, data: ['55.88791', '28.5711', '29.56577', '357.34726', '12.47997', '133.97707', '0.04025', '0.22216', '0.93068']}\n
{snapshot: 16:35:13, data: ['55.97939', '28.64452', '29.566', '357.34871', '12.51305', '133.91315', '0.04', '0.22143', '0.93287']}\n
{snapshot: 16:35:13, data: ['56.03428', '29.00842', '29.56583', '357.35468', '12.56436', '133.91388', '0.04', '0.2224', '0.93385']}\n
{snapshot: 16:35:14, data: ['55.96109', '28.67324', '29.56553', '357.34414', '12.56348', '133.92987', '0.04', '0.22143', '0.9319']}\n
{snapshot: 16:35:15, data: ['55.97939', '28.44022', '29.56535', '357.35477', '12.56807', '133.96361', '0.04097', '0.2224', '0.93238']}\n
{snapshot: 16:35:16, data: ['55.9062', '28.32531', '29.5647', '357.36511', '12.57568', '133.9845', '0.03928', '0.22167', '0.93336']}\n
{snapshot: 16:35:16, data: ['55.96109', '28.58068', '29.56438', '357.37136', '12.6961', '134.01084', '0.03879', '0.22167', '0.93385']}\n
{snapshot: 16:35:17, data: ['55.83301', '29.9054', '29.56486', '357.39752', '12.69535', '134.05059', '0.03903', '0.22191', '0.93385']}\n
{snapshot: 16:35:18, data: ['55.85131', '29.76814', '29.56519', '357.39829', '12.68444', '134.03757', '0.03831', '0.22143', '0.93238']}\n
{snapshot: 16:35:19, data: ['55.96109', '28.93819', '29.56525', '357.43821', '12.68579', '134.01177', '0.03928', '0.2207', '0.9319']}\n
{snapshot: 16:35:19, data: ['55.9428', '28.55514', '29.56581', '357.41652', '12.61359', '133.92781', '0.04', '0.22118', '0.93409']}\n
{snapshot: 16:35:20, data: ['55.9245', '27.69646', '29.5658', '357.42642', '12.61459', '133.87223', '0.04', '0.22118', '0.93287']}\n
{snapshot: 16:35:21, data: ['55.96109', '28.22954', '29.56545', '357.43126', '12.59881', '133.87831', '0.03903', '0.2224', '0.93458']}\n
{snapshot: 16:35:21, data: ['55.81471', '28.59344', '29.56499', '357.39091', '12.58242', '133.87904', '0.04', '0.22118', '0.93263']}\n
{snapshot: 16:35:22, data: ['55.81471', '28.36361', '29.56515', '357.42661', '12.6029', '133.7779', '0.03952', '0.22143', '0.93263']}\n
