{snapshot: 22:40:35, data: ['48.36768', '38.73476', '29.84936', '359.64346', '3.61993', '177.69506', '0.01285', '0.0891', '0.95139']}\n
{snapshot: 22:40:36, data: ['48.2213', '38.46982', '29.8492', '359.60899', '3.55571', '177.65834', '0.01479', '0.08959', '0.95066']}\n
{snapshot: 22:40:36, data: ['48.34938', '38.53047', '29.84872', '359.56412', '3.56765', '177.72186', '0.01358', '0.08983', '0.94969']}\n
{snapshot: 22:40:37, data: ['48.36768', '38.6422', '29.84877', '359.57781', '3.60127', '177.76085', '0.01333', '0.09008', '0.95066']}\n
{snapshot: 22:40:38, data: ['48.38598', '38.61985', '29.84913', '359.51618', '3.59124', '177.6968', '0.0143', '0.08959', '0.95042']}\n
{snapshot: 22:40:39, data: ['48.33109', '37.45792', '29.84866', '359.53096', '3.68107', '177.67337', '0.01358', '0.08959', '0.95091']}\n
{snapshot: 22:40:39, data: ['48.40428', '38.69327', '29.84834', '359.50738', '3.67912', '177.68136', '0.01455', '0.08959', '0.9492']}\n
{snapshot: 22:40:40, data: ['48.36768', '38.49536', '29.8491', '359.47525', '3.69834', '177.77585', '0.01406', '0.09032', '0.95334']}\n
{snapshot: 22:40:41, data: ['48.36768', '38.48578', '29.84939', '359.46097', '3.74423', '177.75129', '0.01333', '0.09032', '0.94969']}\n
{snapshot: 22:40:42, data: ['48.31279', '38.60389', '29.84956', '359.48137', '3.7316', '177.73095', '0.01382', '0.09056', '0.95066']}\n
{snapshot: 22:40:42, data: ['48.53236', '41.48317', '29.84975', '359.46809', '3.73063', '177.67321', '0.01479', '0.08983', '0.95042']}\n
{snapshot: 22:40:43, data: ['48.38598', '38.6007', '29.84914', '359.47101', '3.76436', '177.61362', '0.01212', '0.09056', '0.95115']}\n
{snapshot: 22:40:44, data: ['48.38598', '38.49855', '29.84888', '359.47404', '3.70543', '177.56258', '0.01406', '0.0891', '0.94822']}\n
{snapshot: 22:40:45, data: ['48.45917', '38.70284', '29.8492', '359.45851', '3.76685', '177.4863', '0.01261', '0.08886', '0.94822']}\n
{snapshot: 22:40:45, data: ['48.55066', '37.90482', '29.84929', '359.51658', '3.79071', '177.39243', '0.01309', '0.08959', '0.9492']}\n
{snapshot: 22:40:46, data: ['48.42257', '38.58154', '29.84878', '359.50076', '3.8281', '177.38799', '0.01358', '0.09032', '0.94896']}\n
{snapshot: 22:40:47, data: ['48.49576', '38.70923', '29.84858', '359.47473', '3.78515', '177.42758', '0.01333', '0.0908', '0.95139']}\n
{snapshot: 22:40:48, data: ['48.66044', '36.2545', '29.84835', '359.4478', '3.77868', '177.49117', '0.01333', '0.08935', '0.94944']}\n
{snapshot: 22:40:48, data: ['48.33109', '38.66454', '29.84846', '359.4833', '3.79829', '177.55663', '0.01503', '0.09153', '0.94871']}\n
{snapshot: 22:40:49, data: ['48.49576', '38.54005', '29.84846', '359.43429', '3.8233', '177.59415', '0.01455', '0.0908', '0.95139']}\n
{snapshot: 22:40:50, data: ['48.45917', '38.66454', '29.84887', '359.43705', '3.88428', '177.57327', '0.01358', '0.08959', '0.94993']}\n
{snapshot: 22:40:51, data: ['48.38598', '38.60389', '29.84838', '359.46126', '3.90488', '177.60529', '0.01479', '0.08983', '0.95188']}\n
{snapshot: 22:40:51, data: ['48.47747', '38.71561', '29.84812', '359.47085', '3.95724', '177.67196', '0.01479', '0.09153', '0.95188']}\n
{snapshot: 22:40:52, data: ['48.44087', '38.51132', '29.84842', '359.47305', '3.95249', '177.71596', '0.01358', '0.08935', '0.95042']}\n
{snapshot: 22:40:53, data: ['48.38598', '41.59808', '29.84877', '359.49875', '3.91191', '177.70626', '0.01285', '0.08959', '0.94944']}\n
{snapshot: 22:40:54, data: ['48.45917', '38.3964', '29.84871', '359.42356', '3.89846', '177.72741', '0.01261', '0.09032', '0.94896']}\n
{snapshot: 22:40:54, data: ['48.49576', '38.39321', '29.84857', '359.4179', '3.87552', '177.76634', '0.01285', '0.0891', '0.95066']}\n
{snapshot: 22:40:55, data: ['48.45917', '38.54324', '29.84895', '359.44089', '3.92994', '177.80381', '0.01261', '0.08935', '0.95212']}\n
{snapshot: 22:40:56, data: ['48.45917', '38.33256', '29.84902', '359.42237', '3.97692', '177.84175', '0.01285', '0.08983', '0.94969']}\n
{snapshot: 22:40:56, data: ['48.42257', '38.16976', '29.84846', '359.44471', '3.95253', '177.83873', '0.01358', '0.0891', '0.94944']}\n
{snapshot: 22:40:57, data: ['48.51406', '41.35868', '29.84847', '359.47386', '3.94236', '177.84254', '0.01358', '0.08983', '0.95042']}\n
{snapshot: 22:40:58, data: ['48.53236', '37.42281', '29.84878', '359.48417', '4.02445', '177.81877', '0.01503', '0.09056', '0.94993']}\n
{snapshot: 22:40:59, data: ['48.53236', '38.44428', '29.84863', '359.48077', '4.02438', '177.84029', '0.01333', '0.08959', '0.95042']}\n
{snapshot: 22:40:59, data: ['48.47747', '36.03105', '29.84829', '359.45931', '4.07144', '177.80566', '0.01382', '0.08983', '0.95066']}\n
{snapshot: 22:41:00, data: ['48.42257', '38.57516', '29.84874', '359.40179', '4.10669', '177.83232', '0.0143', '0.08983', '0.95017']}\n
{snapshot: 22:41:01, data: ['48.53236', '38.58474', '29.84882', '359.3868', '4.10908', '177.76455', '0.01358', '0.08983', '0.95042']}\n
{snapshot: 22:41:01, data: ['48.53236', '36.30557', '29.84872', '359.37129', '4.10958', '177.76675', '0.01406', '0.08959', '0.95164']}\n
{snapshot: 22:41:02, data: ['48.49576', '38.5975', '29.84908', '359.345', '4.1148', '177.69902', '0.01382', '0.0891', '0.95042']}\n
{snapshot: 22:41:03, data: ['48.45917', '38.70284', '29.84879', '359.37064', '4.09755', '177.68953', '0.01358', '0.08959', '0.95188']}\n
{snapshot: 22:41:04, data: ['48.53236', '37.81544', '29.84889', '359.3068', '4.13071', '177.68919', '0.01382', '0.08983', '0.9531']}\n
{snapshot: 22:41:05, data: ['48.42257', '38.62624', '29.84892', '359.33198', '4.06331', '177.63765', '0.01382', '0.09008', '0.94993']}\n
{snapshot: 22:41:05, data: ['48.55066', '38.51451', '29.8491', '359.28486', '4.05595', '177.58858', '0.01382', '0.08959', '0.95042']}\n
{snapshot: 22:41:06, data: ['48.49576', '38.59112', '29.84935', '359.29956', '4.10283', '177.62393', '0.01479', '0.08935', '0.94969']}\n
{snapshot: 22:41:07, data: ['48.49576', '37.7899', '29.8492', '359.32198', '4.04893', '177.57732', '0.01382', '0.09032', '0.9492']}\n
{snapshot: 22:41:08, data: ['48.55066', '38.54005', '29.84882', '359.26025', '4.09411', '177.59535', '0.01406', '0.08862', '0.94896']}\n
{snapshot: 22:41:08, data: ['48.47747', '38.44428', '29.8497', '359.2854', '4.11726', '177.64057', '0.01285', '0.09008', '0.95091']}\n
{snapshot: 22:41:09, data: ['48.62384', '38.4762', '29.84975', '359.26337', '4.13606', '177.65228', '0.01406', '0.08983', '0.95188']}\n
{snapshot: 22:41:10, data: ['48.53236', '38.5209', '29.84955', '359.27448', '4.14239', '177.73268', '0.01406', '0.09056', '0.94798']}\n
{snapshot: 22:41:10, data: ['48.51406', '36.87696', '29.84957', '359.26269', '4.16018', '177.71942', '0.01382', '0.09008', '0.95091']}\n
{snapshot: 22:41:11, data: ['48.58725', '39.3668', '29.84854', '359.18768', '4.17743', '177.73219', '0.0143', '0.09008', '0.95139']}\n
{snapshot: 22:41:12, data: ['48.55066', '38.71242', '29.84791', '359.17048', '4.14864', '177.82591', '0.01382', '0.09008', '0.95066']}\n
{snapshot: 22:41:13, data: ['48.49576', '38.63262', '29.84906', '359.1683', '4.14431', '177.8681', '0.01333', '0.09008', '0.94896']}\n
{snapshot: 22:41:13, data: ['48.60555', '37.65264', '29.84828', '359.20278', '4.07083', '177.90971', '0.01333', '0.0891', '0.95164']}\n
