{snapshot: 20:36:28, data: ['66.50039', '26.09722', '29.83898', '359.26056', '359.58583', '162.31457', '0.01188', '-0.03908', '0.95773']}\n
{snapshot: 20:36:29, data: ['66.4089', '26.09083', '29.8387', '359.31031', '359.51445', '162.31927', '0.01164', '-0.03884', '0.95627']}\n
{snapshot: 20:36:30, data: ['66.3906', '26.11637', '29.83935', '359.27363', '359.4974', '162.29816', '0.01188', '-0.03908', '0.95943']}\n
{snapshot: 20:36:31, data: ['66.44549', '25.13639', '29.8398', '359.2216', '359.46518', '162.3285', '0.01139', '-0.03956', '0.95748']}\n
{snapshot: 20:36:31, data: ['66.4089', '25.9408', '29.84', '359.2166', '359.47231', '162.34895', '0.01067', '-0.04028', '0.95919']}\n
{snapshot: 20:36:32, data: ['66.4272', '26.31747', '29.84023', '359.2493', '359.43336', '162.39126', '0.01164', '-0.0398', '0.95895']}\n
{snapshot: 20:36:33, data: ['66.44549', '26.1834', '29.84042', '359.24129', '359.43914', '162.40294', '0.01212', '-0.03835', '0.95895']}\n
{snapshot: 20:36:34, data: ['66.31741', '26.1834', '29.8399', '359.23372', '359.45978', '162.39608', '0.01067', '-0.03763', '0.957']}\n
{snapshot: 20:36:34, data: ['66.46379', '25.98549', '29.83934', '359.24147', '359.52584', '162.42051', '0.01115', '-0.03932', '0.95822']}\n
{snapshot: 20:36:35, data: ['66.4272', '26.09402', '29.83902', '359.22459', '359.5288', '162.40198', '0.01236', '-0.03932', '0.9587']}\n
{snapshot: 20:36:36, data: ['66.4272', '26.20255', '29.8399', '359.21317', '359.5761', '162.35384', '0.01236', '-0.03956', '0.95919']}\n
{snapshot: 20:36:37, data: ['66.4272', '26.81863', '29.84032', '359.20968', '359.57105', '162.35141', '0.01067', '-0.03835', '0.95968']}\n
{snapshot: 20:36:37, data: ['66.4089', '26.01103', '29.83993', '359.1967', '359.54279', '162.35787', '0.01115', '-0.03884', '0.96065']}\n
{snapshot: 20:36:38, data: ['66.33571', '25.85461', '29.84008', '359.22033', '359.56607', '162.33908', '0.01188', '-0.03908', '0.95895']}\n
{snapshot: 20:36:39, data: ['66.46379', '26.00784', '29.84015', '359.26654', '359.51586', '162.35498', '0.01139', '-0.03787', '0.95943']}\n
{snapshot: 20:36:40, data: ['66.4272', '27.08996', '29.84019', '359.26884', '359.55928', '162.37963', '0.01309', '-0.03787', '0.95895']}\n
{snapshot: 20:36:41, data: ['66.3723', '26.3047', '29.83944', '359.26954', '359.65321', '162.42903', '0.00946', '-0.03908', '0.95773']}\n
{snapshot: 20:36:41, data: ['66.46379', '26.04933', '29.83934', '359.28197', '359.64833', '162.41668', '0.01091', '-0.03932', '0.95724']}\n
{snapshot: 20:36:42, data: ['66.4272', '25.91846', '29.83909', '359.26416', '359.69697', '162.39734', '0.01115', '-0.03932', '0.95456']}\n
{snapshot: 20:36:43, data: ['66.31741', '26.38131', '29.83939', '359.19054', '359.7036', '162.37984', '0.01067', '-0.03835', '0.95724']}\n
{snapshot: 20:36:44, data: ['66.354', '27.95502', '29.8398', '359.18369', '359.72617', '162.34927', '0.01043', '-0.0398', '0.95578']}\n
{snapshot: 20:36:44, data: ['66.3906', '26.09083', '29.83885', '359.15549', '359.67285', '162.34483', '0.01236', '-0.0386', '0.95554']}\n
{snapshot: 20:36:45, data: ['66.3906', '26.14829', '29.83916', '359.12043', '359.62315', '162.32886', '0.01043', '-0.0398', '0.95724']}\n
{snapshot: 20:36:46, data: ['66.3723', '25.99507', '29.83975', '359.17026', '359.5548', '162.28665', '0.01139', '-0.0386', '0.957']}\n
{snapshot: 20:36:47, data: ['66.354', '26.07168', '29.83969', '359.16766', '359.58076', '162.30442', '0.01115', '-0.0386', '0.95529']}\n
{snapshot: 20:36:47, data: ['66.29911', '26.29832', '29.83926', '359.19891', '359.61778', '162.30136', '0.01067', '-0.03908', '0.95748']}\n
{snapshot: 20:36:48, data: ['66.33571', '22.36884', '29.83957', '359.17848', '359.65774', '162.33063', '0.01188', '-0.03811', '0.96041']}\n
{snapshot: 20:36:49, data: ['66.4272', '28.82966', '29.83996', '359.14525', '359.6793', '162.29482', '0.01139', '-0.03835', '0.95675']}\n
{snapshot: 20:36:50, data: ['66.26252', '25.96953', '29.8398', '359.18472', '359.63405', '162.3322', '0.01091', '-0.0386', '0.96114']}\n
{snapshot: 20:36:50, data: ['66.33571', '26.03976', '29.84048', '359.24104', '359.64521', '162.34033', '0.01018', '-0.03932', '0.95748']}\n
{snapshot: 20:36:51, data: ['66.3723', '25.95357', '29.84038', '359.2397', '359.58141', '162.34973', '0.01018', '-0.03884', '0.95992']}\n
{snapshot: 20:36:52, data: ['66.33571', '26.03976', '29.83985', '359.25115', '359.52079', '162.39325', '0.01091', '-0.03884', '0.95992']}\n
{snapshot: 20:36:53, data: ['66.48209', '26.41962', '29.83935', '359.24112', '359.49508', '162.38894', '0.01091', '-0.03956', '0.95919']}\n
{snapshot: 20:36:53, data: ['66.46379', '26.5473', '29.83967', '359.23862', '359.52685', '162.50064', '0.01115', '-0.04004', '0.95675']}\n
{snapshot: 20:36:54, data: ['66.4089', '26.01422', '29.83996', '359.29937', '359.5419', '162.51035', '0.01115', '-0.03956', '0.95651']}\n
{snapshot: 20:36:55, data: ['66.4272', '26.22809', '29.83949', '359.30627', '359.45021', '162.53838', '0.01212', '-0.03908', '0.95748']}\n
{snapshot: 20:36:56, data: ['66.3906', '25.9025', '29.83933', '359.32717', '359.42628', '162.53417', '0.01139', '-0.03884', '0.95773']}\n
{snapshot: 20:36:56, data: ['66.4272', '26.30789', '29.83916', '359.29587', '359.43185', '162.52044', '0.01164', '-0.03835', '0.95627']}\n
{snapshot: 20:36:57, data: ['66.4272', '25.78758', '29.83894', '359.3252', '359.41913', '162.50413', '0.00994', '-0.03884', '0.96041']}\n
{snapshot: 20:36:58, data: ['66.354', '26.14829', '29.83975', '359.29243', '359.46683', '162.51051', '0.01115', '-0.03835', '0.96041']}\n
{snapshot: 20:36:59, data: ['66.53698', '29.53511', '29.83967', '359.33292', '359.49817', '162.5065', '0.01043', '-0.0386', '0.95895']}\n
{snapshot: 20:36:59, data: ['66.44549', '27.39002', '29.83912', '359.41703', '359.51101', '162.52923', '0.01043', '-0.03787', '0.95675']}\n
{snapshot: 20:37:00, data: ['66.354', '25.87057', '29.83936', '359.39789', '359.48275', '162.4936', '0.01188', '-0.03908', '0.95578']}\n
{snapshot: 20:37:01, data: ['66.31741', '25.14277', '29.839', '359.36285', '359.48642', '162.46542', '0.01067', '-0.04028', '0.95529']}\n
{snapshot: 20:37:02, data: ['66.3723', '26.0621', '29.83874', '359.34106', '359.52931', '162.47687', '0.01091', '-0.03956', '0.95748']}\n
{snapshot: 20:37:03, data: ['66.33571', '24.94167', '29.83897', '359.32072', '359.47254', '162.45844', '0.00946', '-0.03932', '0.95724']}\n
{snapshot: 20:37:03, data: ['66.24422', '29.39466', '29.83945', '359.3519', '359.45923', '162.49064', '0.01164', '-0.0386', '0.95943']}\n
{snapshot: 20:37:04, data: ['66.354', '26.1834', '29.83993', '359.35783', '359.4431', '162.49539', '0.01018', '-0.03932', '0.95773']}\n
{snapshot: 20:37:05, data: ['66.3723', '26.84098', '29.83999', '359.35188', '359.43591', '162.52517', '0.01188', '-0.0386', '0.95675']}\n
{snapshot: 20:37:06, data: ['66.4272', '26.19936', '29.83991', '359.33723', '359.43218', '162.52756', '0.00994', '-0.03884', '0.95797']}\n
{snapshot: 20:37:06, data: ['66.33571', '26.91759', '29.83942', '359.34137', '359.42943', '162.51685', '0.01115', '-0.03956', '0.95432']}\n
{snapshot: 20:37:07, data: ['66.4089', '26.10998', '29.83972', '359.37559', '359.44662', '162.47793', '0.01164', '-0.03908', '0.95578']}\n
{snapshot: 20:37:08, data: ['66.3906', '26.65583', '29.83991', '359.41155', '359.44109', '162.44666', '0.01139', '-0.03932', '0.96041']}\n
{snapshot: 20:37:09, data: ['66.354', '26.19617', '29.84011', '359.43159', '359.43765', '162.45171', '0.01115', '-0.0398', '0.95943']}\n
