\n
{snapshot: 00:04:00, data: ['56.58321', '34.11259', '29.81721', '3.26222', '4.54581', '182.6769', '-0.05529', '0.07454', '0.96285']}\n
{snapshot: 00:04:01, data: ['56.58321', '39.8105', '29.81655', '3.20584', '4.54216', '182.68974', '-0.05677', '0.07697', '0.95578']}\n
{snapshot: 00:04:02, data: ['56.47342', '38.99652', '29.81714', '3.23368', '4.51384', '182.62847', '-0.05603', '0.07624', '0.95895']}\n
{snapshot: 00:04:03, data: ['56.58321', '38.8018', '29.81708', '3.21354', '4.54582', '182.58549', '-0.05677', '0.07502', '0.95407']}\n
{snapshot: 00:04:04, data: ['56.49172', '38.78265', '29.81679', '3.20333', '4.46517', '182.56957', '-0.05504', '0.07284', '0.95578']}\n
{snapshot: 00:04:04, data: ['56.43683', '38.81138', '29.81716', '3.19975', '4.46022', '182.49659', '-0.05776', '0.07429', '0.96114']}\n
{snapshot: 00:04:05, data: ['56.67469', '38.7188', '29.81731', '3.14874', '4.50863', '182.4999', '-0.05702', '0.07697', '0.9548']}\n
{snapshot: 00:04:06, data: ['56.49172', '38.75392', '29.81807', '3.13352', '4.60219', '182.50909', '-0.05504', '0.07235', '0.96212']}\n
{snapshot: 00:04:07, data: ['56.41853', '40.12653', '29.8173', '3.13127', '4.54152', '182.51476', '-0.05578', '0.07211', '0.96065']}\n
{snapshot: 00:04:08, data: ['56.71129', '38.94545', '29.81695', '3.17199', '4.49875', '182.45691', '-0.05875', '0.07454', '0.95529']}\n
{snapshot: 00:04:09, data: ['56.6381', '38.8018', '29.81689', '3.21409', '4.48751', '182.51025', '-0.05727', '0.07454', '0.95627']}\n
{snapshot: 00:04:09, data: ['56.71129', '39.09867', '29.81647', '3.16653', '4.55013', '182.47931', '-0.05554', '0.07332', '0.96017']}\n
{snapshot: 00:04:10, data: ['56.67469', '38.81457', '29.81746', '3.21749', '4.60729', '182.52236', '-0.0548', '0.07381', '0.95359']}\n
{snapshot: 00:04:11, data: ['56.69299', '37.72287', '29.81695', '3.17966', '4.61107', '182.56179', '-0.0548', '0.07454', '0.96187']}\n
{snapshot: 00:04:12, data: ['56.65639', '36.56733', '29.81645', '3.23928', '4.67026', '182.63986', '-0.05356', '0.07527', '0.95748']}\n
